id,timestamp,hour,symbol,side,size,price,tickDirection,trdMatchID,volTime,tickTime
2732582,2019-01-06T01:00:07.673Z,19010601,XBTUSD,Buy,140,3801.5,ZeroPlusTick,45c03630-b52f-6b8a-5f9b-1511ca94b21f,140,1
2732660,2019-01-06T01:00:29.524Z,19010601,XBTUSD,Buy,236,3801.5,ZeroPlusTick,0970d951-5d96-0811-d589-74aadc792f33,376,2
2732661,2019-01-06T01:00:29.542Z,19010601,XBTUSD,Buy,4105,3801.5,ZeroPlusTick,49c13964-7b72-60ac-869d-e9eb51fdcd33,4481,3
2732662,2019-01-06T01:00:29.945Z,19010601,XBTUSD,Buy,1145,3801.5,ZeroPlusTick,05a20531-6520-944f-10ea-5bffe58d3619,5626,4
2732603,2019-01-06T01:00:16.368Z,19010601,XBTUSD,Buy,449,3801.5,ZeroPlusTick,69e99302-78be-bf22-9b95-cbb1c056dc2f,6075,5
2732604,2019-01-06T01:00:16.623Z,19010601,XBTUSD,Sell,779,3801,MinusTick,68438b27-21af-7671-d3d2-b4ff09c4d460,6854,6
2732605,2019-01-06T01:00:16.763Z,19010601,XBTUSD,Buy,8461,3801.5,PlusTick,bccd63bc-1cea-032d-4109-80909deae45d,15315,7
2732697,2019-01-06T01:00:36.525Z,19010601,XBTUSD,Sell,5000,3801,MinusTick,9dbbfce1-1cae-10e0-4744-0a6602f07ff8,20315,8
2732699,2019-01-06T01:00:36.827Z,19010601,XBTUSD,Sell,1200,3801,ZeroMinusTick,fa9276cf-0a7f-a5cd-7e97-b49d44eed562,21515,9
2732580,2019-01-06T01:00:07.001Z,19010601,XBTUSD,Buy,3811,3801.5,ZeroPlusTick,a9795e81-ee4a-cb1e-ca9f-3d1ab43f6424,25326,10
2732615,2019-01-06T01:00:20.710Z,19010601,XBTUSD,Sell,8100,3801,MinusTick,f0a02b8d-ba12-2a6e-54e2-dc1e64b761a6,33426,11
2732616,2019-01-06T01:00:20.789Z,19010601,XBTUSD,Buy,50,3801.5,PlusTick,23424cfe-a368-ec42-1a57-3fc2dd709741,33476,12
2732617,2019-01-06T01:00:20.850Z,19010601,XBTUSD,Buy,54,3801.5,ZeroPlusTick,2855640e-66b3-f0ab-430b-8e8d36083b50,33530,13
2732618,2019-01-06T01:00:20.900Z,19010601,XBTUSD,Buy,256,3801.5,ZeroPlusTick,0699869b-9089-a966-0787-0c83f841d5b9,33786,14
2732620,2019-01-06T01:00:21.940Z,19010601,XBTUSD,Buy,7050,3801.5,ZeroPlusTick,4aaf8f1d-4419-a604-65ad-c35880d49a1a,40836,15
