id,timestamp,hour,symbol,side,size,price,tickDirection,trdMatchID,volTime,tickTime
2986637,2019-01-06T12:00:09.990Z,19010612,XBTUSD,Sell,300,3826.5,MinusTick,30eda205-3e57-70df-8578-1da8861fefc1,300,1
2986806,2019-01-06T12:00:22.592Z,19010612,XBTUSD,Buy,697,3827,ZeroPlusTick,f75d38ba-351d-c647-5fb8-4239b59f8fc4,997,2
2986812,2019-01-06T12:00:23.884Z,19010612,XBTUSD,Buy,2500,3827,PlusTick,ec95d561-c37f-f964-1d68-51b1279a2e83,3497,3
2986823,2019-01-06T12:00:24.222Z,19010612,XBTUSD,Sell,5000,3826.5,MinusTick,07d0374d-d6f7-c624-0230-c5a0b2d08bd5,8497,4
2986908,2019-01-06T12:00:28.519Z,19010612,XBTUSD,Buy,1,3827,PlusTick,f886953c-dc32-8bf2-d231-2fcd980b1821,8498,5
2986950,2019-01-06T12:00:32.322Z,19010612,XBTUSD,Sell,200,3826.5,ZeroMinusTick,0b22b5e1-d8ba-4499-d97c-369c218d9bc8,8698,6
2986999,2019-01-06T12:00:33.998Z,19010612,XBTUSD,Buy,15,3827,PlusTick,f036ccf6-ef02-5412-c753-ac4ffe98e377,8713,7
2987042,2019-01-06T12:00:37.878Z,19010612,XBTUSD,Buy,1009,3827,PlusTick,d745976f-ebd3-0927-9e8e-a45194ff49d2,9722,8
2987073,2019-01-06T12:00:40.677Z,19010612,XBTUSD,Sell,1600,3826.5,MinusTick,d0d49787-0577-96a2-03ca-025ca0138938,11322,9
2987089,2019-01-06T12:00:41.386Z,19010612,XBTUSD,Sell,1000,3826.5,MinusTick,102549f9-212e-32c7-7e7a-21600bc8e76d,12322,10
2987117,2019-01-06T12:00:48.338Z,19010612,XBTUSD,Buy,153,3827,ZeroPlusTick,f060143e-14f8-caee-df18-deb3d303c12c,12475,11
2987192,2019-01-06T12:00:51.977Z,19010612,XBTUSD,Buy,5000,3827,PlusTick,40522d98-223c-8f1d-372d-7fe5b43bc3a1,17475,12
2986704,2019-01-06T12:00:10.301Z,19010612,XBTUSD,Buy,10000,3827,PlusTick,b6ddc23a-822f-5a9c-85a1-0fe29ce45980,27475,13
2986706,2019-01-06T12:00:10.574Z,19010612,XBTUSD,Sell,10,3826.5,MinusTick,c416b70f-ccc5-2c85-009e-e9675396b0f9,27485,14
2986707,2019-01-06T12:00:10.593Z,19010612,XBTUSD,Buy,1,3827,PlusTick,42ced935-4ec0-a864-06a5-48e7b16a4f95,27486,15
2986708,2019-01-06T12:00:10.672Z,19010612,XBTUSD,Sell,266,3826.5,MinusTick,2baa26ef-f520-3194-4d79-00df1dff98ca,27752,16
2986739,2019-01-06T12:00:12.482Z,19010612,XBTUSD,Buy,376,3827,PlusTick,36ec873d-afa7-0754-9081-94890e0b1add,28128,17
2986826,2019-01-06T12:00:24.954Z,19010612,XBTUSD,Buy,200,3827,ZeroPlusTick,c9a2c65a-420b-8f1b-56bd-dcf0f7b1c799,28328,18
